word,pos,meaning,level,source
a,art.,"第一個字母 A; 一個; 第一的\r；art. [計] 累加器, 加法器, 地址, 振幅, 模擬, 區域, 面積, 彙編, 組件, 異步",1,CEEC-108
a.m.,adv.,"上午, 午前",1,CEEC-108
abandon,v.,遺棄,4,CEEC-108
abbreviate,v.,"vt. 縮寫, 使...簡略, 縮短；vi. 使用縮寫詞",6,CEEC-108
abide,v.,遵守,6,CEEC-108
ability,n.,能力；才能,1,CEEC-108
able,adj.,能；有能力的,1,CEEC-108
abnormal,adj.,反常的,5,CEEC-108
aboard,adv./prep.,在(船、飛機、車)上,3,CEEC-108
abolish,v.,廢除,5,CEEC-108
aboriginal,adj./n.,原住民的,6,CEEC-108
abortion,n.,墮胎,5,CEEC-108
abound,v.,"vi. 大量存在, 富於, 充滿",6,CEEC-108
about,adv./prep.,關於,1,CEEC-108
above,adj./adv./prep.,在…上面；優於，勝過,1,CEEC-108
abroad,adv.,在(到)國外,1,CEEC-108
abrupt,adj.,突然的；魯莽的,5,CEEC-108
absence,n.,缺席；缺少,2,CEEC-108
absent,adj./v.,缺席的,2,CEEC-108
absolute,adj.,完全的；絕對的,4,CEEC-108
absorb,v.,吸收；理解,4,CEEC-108
abstract,adj.,抽象的,4,CEEC-108
abstraction,n.,心不在焉／抽象概念,6,CEEC-108
absurd,adj.,荒唐的,5,CEEC-108
abundance,n.,豐富,6,CEEC-108
abundant,adj.,"a. 豐富的, 充分的, 大量的",5,CEEC-108
abuse,n./v.,"n. 濫用, 虐待, 惡習, 辱罵；vt. 濫用, 辱罵, 虐待",5,CEEC-108
academic,adj.,學院的；學術的,4,CEEC-108
academy,n.,"n. 學院, 院校, 學會",6,CEEC-108
accelerate,v.,"v. 加速, 促進",5,CEEC-108
accent,n.,"n. 重音, 口音, 特點, 注重點；vt. 重讀, 加重音號於, 強調",4,CEEC-108
accept,v.,接受,2,CEEC-108
acceptable,adj.,可以接受的,3,CEEC-108
acceptance,n.,接受,4,CEEC-108
access,n./v.,"n. 通路, 入口, 接近, 進入, 使用權, 發作；vt. 訪問, 存取, 接近, 使用；[計] 訪問, 存取",4,CEEC-108
accessible,adj.,易接近的,5,CEEC-108
accessory,adj./n.,附件,6,CEEC-108
accident,n.,事故,2,CEEC-108
accidental,adj.,偶然的；意外的,4,CEEC-108
acclaim,n./v.,歡呼；歡呼聲,6,CEEC-108
accommodate,v.,"vt. 使適應, 調和, 通融, 容納, 向...提供；vi. 適應",5,CEEC-108
accommodation,n.,n住所,5,CEEC-108
accompany,v.,陪同,4,CEEC-108
accomplish,v.,完成,4,CEEC-108
accomplishment,n.,[C]才藝；[U]完成,4,CEEC-108
accord,n./v.,符合,5,CEEC-108
accordance,n.,"n. 一致, 和諧",6,CEEC-108
accordingly,adv.,因此,6,CEEC-108
account,n./v.,帳戶；描述,2,CEEC-108
accountable,adj.,負有責任的,6,CEEC-108
accountant,n.,會計師,4,CEEC-108
accounting,n.,會計學,5,CEEC-108
accumulate,v.,累積,6,CEEC-108
accumulation,n.,累積,6,CEEC-108
accuracy,n.,正確(性),4,CEEC-108
accurate,adj.,準確的,3,CEEC-108
accusation,n.,控訴,6,CEEC-108
accuse,v.,把…歸咎(於)；指控,4,CEEC-108
accustom,v.,使習慣,6,CEEC-108
ache,n./v.,疼痛,3,CEEC-108
achieve,v.,"vt. 完成, 達到；vi. 如願以償",3,CEEC-108
achievement,n.,"n. 完成, 成就, 功業",3,CEEC-108
acid,adj./n.,"n. 酸, 酸類物質, 尖刻, 迷幻藥；a. 酸的, 酸性的, 尖刻的, 敏銳的；[計] 自動文檔互參與索引生成程式",4,CEEC-108
acknowledge,v.,"vt. 承認, 告知收悉, 答謝, 報償；[經] 承認, 答謝, 收到的通知",5,CEEC-108
acknowledgement,n.,"n. 承認, 確認, 感謝, 收到的通知；[計] 確認; 肯定",5,CEEC-108
acne,n.,"n. 痤瘡, 粉刺；[醫] 痤瘡, 粉刺",6,CEEC-108
acquaint,v.,"vt. 使認識, 介紹",5,CEEC-108
acquaintance,n.,熟人,4,CEEC-108
acquire,v.,取得,4,CEEC-108
acquisition,n.,取得；獲得物,5,CEEC-108
acre,n.,英畝,6,CEEC-108
across,adv./prep.,橫越,1,CEEC-108
act,n./v.,行動；表演,1,CEEC-108
action,n.,行動；作用,1,CEEC-108
active,adj.,活躍的；積極的,2,CEEC-108
activist,n.,n. 激進主義分子,5,CEEC-108
activity,n.,活動；活動力,2,CEEC-108
actor,n.,男演員,1,CEEC-108
actress,n.,女演員,1,CEEC-108
actual,adj.,實際的,2,CEEC-108
acute,adj.,敏銳的,5,CEEC-108
ad,n.,廣告,3,CEEC-108
adapt,v.,使適應,4,CEEC-108
adaptation,n.,適應；改編(本),6,CEEC-108
add,v.,增加,1,CEEC-108
addict,n./v.,對～有癮的人,4,CEEC-108
addiction,n.,耽溺,6,CEEC-108
addition,n.,增加；附加,2,CEEC-108
additional,adj.,附加的,3,CEEC-108
address,n./v.,地址；致詞,2,CEEC-108
adequate,adj.,"a. 適當的, 足夠的；[法] 勝任的, 適當的, 充分的",4,CEEC-108
adjust,v.,"vt. 調整, 使適應於, 校準；vi. 適應於, 被調節, 相互熟悉而適應",4,CEEC-108
adjustment,n.,"n. 調整, 調節, 校正；[化] 調節",4,CEEC-108
administer,v.,"vt. 管理, 料理, 執行；vi. 執行遺產管理人的職責, 給予幫助",6,CEEC-108
administrate,v.,"vt. 管理, 支配",6,CEEC-108
administration,n.,"n. 行政, 管理, 政府機關；[化] 給藥",5,CEEC-108
administrative,adj.,行政的,5,CEEC-108
administrator,n.,行政官員,5,CEEC-108
admirable,adj.,令人欽佩的,4,CEEC-108
admiral,n.,海軍將官,6,CEEC-108
admiration,n.,欽佩,4,CEEC-108
admire,v.,欽佩；欣賞,3,CEEC-108
admission,n.,加入許可；承認,4,CEEC-108
admit,v.,承認,2,CEEC-108
adolescence,n.,青春期,6,CEEC-108
adolescent,adj./n.,青春期的；青少年,5,CEEC-108
adopt,v.,採取；收養,4,CEEC-108
adore,v.,"vt. 崇拜, 愛慕, 喜愛；vi. 崇拜, 愛慕",5,CEEC-108
adult,adj./n.,成年人,2,CEEC-108
advance,n./v.,推進；將…提前,2,CEEC-108
advanced,adj.,先進的；高等的,3,CEEC-108
advantage,n.,有利條件；優勢,3,CEEC-108
adventure,n.,冒險,3,CEEC-108
adverse,adj.,反對的,5,CEEC-108
